bin_center_elev_m,z1_bin_count_valid,z1_bin_area_valid_km2,dhdt_bin_count,dhdt_bin_mean_ma,dhdt_bin_std_ma,dhdt_bin_med_ma,dhdt_bin_mad_ma,mb_bin_mean_mwea,mb_bin_std_mwea,mb_bin_med_mwea,mb_bin_mad_mwea,dc_dhdt_bin_count,dc_dhdt_bin_mean_ma,dc_dhdt_bin_std_ma,dc_dhdt_bin_med_ma,dc_dhdt_bin_mad_ma,dc_mb_bin_mean_mwea,dc_mb_bin_std_mwea,dc_mb_bin_med_mwea,dc_mb_bin_mad_mwea,dc_bin_count_valid,dc_bin_area_valid_km2,ts_mean,ts_std,ts_med,ts_mad,dc_ts_mean,dc_ts_std,dc_ts_med,dc_ts_mad,vm_med,vm_mad,H_mean,H_std,emvel_mean,emvel_std,emvel_med,emvel_mad,hd_ts_mean_m,hd_ts_std_m,hd_ts_med_m,hd_ts_mad_m,mf_ts_mean,mf_ts_std,mf_ts_med,mf_ts_mad
2235.0,876.0,8.76,876.0,-0.54673654,0.5683123000000001,-0.5618731,0.43938896,-0.49206284,0.51148105,-0.50568575,0.39545015,1.0,-0.2729185,0.0,-0.2729185,0.0,-0.24562664,0.0,-0.24562664,0.0,1.0,0.01,21.145048000000003,0.0,21.145048000000003,0.0,21.145048000000003,0.0,21.145048000000003,0.0,33.21569,43.494640000000004,273.05057,182.85709,1.5917143,38.580418,0.19045582,22.19831,0.19874851,0.0,0.19874851,0.0,0.70528275,0.0,0.70528275,0.0
2245.0,667.0,6.67,667.0,-0.48997298,0.6759400999999999,-0.5414986999999999,0.47128907,-0.44097567,0.6083460999999999,-0.48734885,0.42416015,2.0,-0.7467849,0.5234711,-0.7467849,0.77609825,-0.67210644,0.471124,-0.67210644,0.6984884,2.0,0.02,20.075901,4.6667128,20.075901,6.918868499999999,20.075901,4.6667128,20.075901,6.918868499999999,16.976627,22.002232,238.18228,165.76299,-0.28377345,39.07687,0.006262524,10.052125,0.26399726,0.20920965,0.26399726,0.31017423,1.0244198,0.6922424,1.0244198,1.0263186
2255.0,748.0,7.48,748.0,-0.5548044,0.9779377,-0.64211154,0.47465143,-0.499324,0.88014394,-0.57790035,0.42718625,,,,,,,,,,0.0,0.0,,,,,,,,,16.294518,20.660776000000002,250.42957,171.06773,-3.1282446,33.5502,-0.80184823,9.152014999999999,,,,,1.0,0.0,1.0,0.0
2265.0,765.0,7.65,765.0,-0.564865,0.7854425,-0.62987715,0.45012250000000004,-0.5083785,0.7068982,-0.56688946,0.40511030000000003,5.0,-0.42998832,0.31209970000000004,-0.24874583,0.2176455,-0.3869895,0.28088972,-0.22387125,0.19588095,5.0,0.05,22.927244,4.503668,24.229254,0.2542478,22.927244,4.503668,24.229254,0.2542478,26.950874,37.10282,287.32346,190.8223,-1.8641394,43.603504,-0.7431123000000001,14.694586,0.46922845,0.32607323,0.415235,0.027258387000000002,0.6463354,0.6602155,0.37396428,0.02127124
2275.0,766.0,7.66,766.0,-0.48067775,0.76103806,-0.55822074,0.5254741999999999,-0.43260998,0.68493426,-0.5023986,0.47292683,,,,,,,,,,0.0,0.0,,,,,,,,,21.524963,28.801907,271.0537,178.04295,-5.206821400000001,38.087784,-1.373575,16.477235999999998,,,,,1.0,0.0,1.0,0.0
2285.0,799.0,7.99,799.0,-0.416249,0.72560126,-0.51540244,0.49395794,-0.37462407,0.6530411,-0.46386218,0.4445622,1.0,-0.530836,0.0,-0.530836,0.0,-0.4777524,0.0,-0.4777524,0.0,1.0,0.01,16.9325,0.0,16.9325,0.0,16.9325,0.0,16.9325,0.0,25.641918,33.98527,285.06917999999996,192.00194,3.4694693,43.116215000000004,-0.0052624857,16.5927,0.07723371,0.0,0.07723371,0.0,1.4029748,0.0,1.4029748,0.0
2295.0,810.0,8.1,810.0,-0.47659928,0.5895815999999999,-0.5727505,0.38651627,-0.42893937,0.53062344,-0.51547545,0.34786469999999997,,,,,,,,,,0.0,0.0,,,,,,,,,29.445652000000003,40.178978,306.74252,203.2687,6.2480910000000005,58.336994,-0.042870793,16.96828,,,,,1.0,0.0,1.0,0.0
2305.0,885.0,8.85,885.0,-0.44737673,0.62149626,-0.5051874,0.43503124,-0.40263906,0.5593467,-0.45466864,0.39152807,1.0,-0.3147208,0.0,-0.3147208,0.0,-0.28324872,0.0,-0.28324872,0.0,1.0,0.01,26.918622999999997,0.0,26.918622999999997,0.0,26.918622999999997,0.0,26.918622999999997,0.0,16.349115,21.425642,241.21237000000002,180.93613,0.7471859000000001,34.940178,-0.08223987,9.450258999999999,0.85788107,0.0,0.85788107,0.0,0.19074711,0.0,0.19074711,0.0
2315.0,835.0,8.35,835.0,-0.37162449999999997,0.77484536,-0.47426587,0.4530305,-0.33446205,0.6973608,-0.4268393,0.40772742,1.0,-0.35390094,0.0,-0.35390094,0.0,-0.31851083,0.0,-0.31851083,0.0,1.0,0.01,26.521140999999997,0.0,26.521140999999997,0.0,26.521140999999997,0.0,26.521140999999997,0.0,15.363672,20.218752,237.46207,177.26295,-0.41909498,32.850792,-0.017177425,9.055583,0.7649759,0.0,0.7649759,0.0,0.21260975,0.0,0.21260975,0.0
2325.0,812.0,8.12,812.0,-0.36775687,0.8306995999999999,-0.4678192,0.4441187,-0.33098117,0.74762964,-0.42103732,0.39970675,1.0,-0.51884866,0.0,-0.51884866,0.0,-0.4669638,0.0,-0.4669638,0.0,1.0,0.01,13.492467000000001,0.0,13.492467000000001,0.0,13.492467000000001,0.0,13.492467000000001,0.0,13.6447,17.518091000000002,224.97432999999998,171.7547,-0.62077856,29.531607,-0.033290934,7.580955499999999,0.035093855,0.0,0.035093855,0.0,2.1356062999999996,0.0,2.1356062999999996,0.0
2335.0,915.0,9.15,915.0,-0.35658866,0.8643098,-0.44539958,0.38975522,-0.32092977,0.7778788000000001,-0.40085962,0.35077968,,,,,,,,,,0.0,0.0,,,,,,,,,15.130301000000001,19.256483,219.78386,163.00949,-2.1955826000000003,30.586243,-0.07328043,7.772651700000001,,,,,1.0,0.0,1.0,0.0
2345.0,921.0,9.21,921.0,-0.35323384,0.77354074,-0.45200434,0.45236406,-0.31791046,0.69618666,-0.4068039,0.40712756,1.0,-0.29729265,0.0,-0.29729265,0.0,-0.26756337,0.0,-0.26756337,0.0,1.0,0.01,22.78988,0.0,22.78988,0.0,22.78988,0.0,22.78988,0.0,14.823964000000002,19.066803,216.62462999999997,163.13463000000002,-4.774639,34.29602,-0.047215596,7.1120872,0.29188618,0.0,0.29188618,0.0,0.5106443,0.0,0.5106443,0.0
2355.0,930.0,9.3,930.0,-0.29803684,0.85830134,-0.43417865,0.40349707,-0.26823315,0.7724711999999999,-0.39076079999999996,0.36314732,,,,,,,,,,0.0,0.0,,,,,,,,,14.577607,18.986857999999998,211.24141,156.09915,-4.5828739999999994,27.81287,-0.17716245,7.1035520000000005,,,,,1.0,0.0,1.0,0.0
2365.0,865.0,8.65,865.0,-0.25936106,0.810213,-0.3814843,0.47161984,-0.23342496,0.7291917,-0.34333587,0.42445788,,,,,,,,,,0.0,0.0,,,,,,,,,12.3118725,15.337654,202.7034,148.64578,0.73488265,29.617134000000004,0.004126294,5.520299400000001,,,,,1.0,0.0,1.0,0.0
2375.0,955.0,9.55,955.0,-0.27414685,0.7991199000000001,-0.39997125,0.4582179,-0.24673215,0.7192079,-0.35997412,0.41239613,,,,,,,,,,0.0,0.0,,,,,,,,,12.265095,15.269753,210.11643999999998,156.75569,3.4311269999999996,29.479015000000004,0.044555247,4.906591400000001,,,,,1.0,0.0,1.0,0.0
