OID,OBJECTID_1,OBJECTID,POINT_X,POINT_Y,POINT_Z,POINT_M,sfc_type,b2_debrism,ELA
-1,42474,29201,630082.842859999980000,6746185.565770000200000,816.052917480000020,1.000000000000000,0,0,0
-1,42475,29202,630282.842859999980000,6746185.565770000200000,819.598937987999990,1.000000000000000,0,0,0
-1,42476,29203,630482.842859999980000,6746185.565770000200000,816.792724608999950,1.000000000000000,0,0,0
-1,42421,29148,629882.842859999980000,6745785.565770000200000,817.390686035000040,1.000000000000000,0,255,0
-1,42422,29149,630082.842859999980000,6745785.565770000200000,822.640197754000040,1.000000000000000,0,251,0
-1,42423,29150,630282.842859999980000,6745785.565770000200000,822.722167969000000,1.000000000000000,0,0,0
-1,42452,29179,629882.842859999980000,6745985.565770000200000,816.129882812999990,1.000000000000000,0,255,0
-1,42453,29180,630082.842859999980000,6745985.565770000200000,825.691528319999970,1.000000000000000,0,247,0
-1,42454,29181,630282.842859999980000,6745985.565770000200000,819.070251464999960,1.000000000000000,0,0,0
-1,42455,29182,630482.842859999980000,6745985.565770000200000,818.229736327999940,1.000000000000000,0,0,0
-1,42304,29031,568682.842859999980000,6745385.565770000200000,3102.114501950000000,1.000000000000000,0,0,0
-1,42305,29032,568882.842859999980000,6745385.565770000200000,3087.427490229999900,1.000000000000000,0,0,0
-1,42306,29033,569082.842859999980000,6745385.565770000200000,3158.768066409999800,1.000000000000000,0,0,0
-1,42344,29071,629682.842859999980000,6745385.565770000200000,822.918395995999960,1.000000000000000,0,255,0
-1,42345,29072,629882.842859999980000,6745385.565770000200000,824.264465331999990,1.000000000000000,0,255,0
-1,42346,29073,630082.842859999980000,6745385.565770000200000,822.654602050999980,1.000000000000000,0,252,0
-1,42347,29074,630282.842859999980000,6745385.565770000200000,823.543701172000060,1.000000000000000,0,0,0
-1,42348,29075,630482.842859999980000,6745385.565770000200000,831.168884276999960,1.000000000000000,0,0,0
-1,42349,29076,568682.842859999980000,6745585.565770000200000,3158.272705079999900,1.000000000000000,0,0,0
-1,42350,29077,568882.842859999980000,6745585.565770000200000,3155.933105470000100,1.000000000000000,0,0,0
-1,42384,29111,629682.842859999980000,6745585.565770000200000,818.493103026999960,1.000000000000000,0,255,0
-1,42385,29112,629882.842859999980000,6745585.565770000200000,822.325195312999990,1.000000000000000,0,254,0
-1,42386,29113,630082.842859999980000,6745585.565770000200000,822.891296387000010,1.000000000000000,0,255,0
-1,42387,29114,630282.842859999980000,6745585.565770000200000,827.926940918000010,1.000000000000000,0,0,0
-1,42388,29115,630482.842859999980000,6745585.565770000200000,828.560913086000030,1.000000000000000,0,0,0
-1,42248,28975,568682.842859999980000,6745185.565770000200000,3062.550537109999800,1.000000000000000,0,0,0
-1,42249,28976,568882.842859999980000,6745185.565770000200000,3049.384033200000000,1.000000000000000,0,0,0
-1,42250,28977,569082.842859999980000,6745185.565770000200000,3087.685546879999900,1.000000000000000,0,0,0
-1,42294,29021,629482.842859999980000,6745185.565770000200000,819.279479980000020,1.000000000000000,0,255,0
-1,42295,29022,629682.842859999980000,6745185.565770000200000,828.123840331999990,1.000000000000000,0,255,0
-1,42296,29023,629882.842859999980000,6745185.565770000200000,830.930725098000040,1.000000000000000,0,255,0
-1,42297,29024,630082.842859999980000,6745185.565770000200000,829.629638672000060,1.000000000000000,0,253,0
-1,42298,29025,630282.842859999980000,6745185.565770000200000,823.331787108999950,1.000000000000000,0,0,0
-1,42299,29026,630482.842859999980000,6745185.565770000200000,819.640197754000040,1.000000000000000,0,0,0
-1,42300,29027,630682.842859999980000,6745185.565770000200000,830.327941894999980,1.000000000000000,0,0,0
-1,42301,29028,630882.842859999980000,6745185.565770000200000,820.963439941000050,1.000000000000000,0,0,0
-1,42302,29029,631682.842859999980000,6745185.565770000200000,758.437194824000020,1.000000000000000,0,0,0
-1,42303,29030,631882.842859999980000,6745185.565770000200000,759.053588867000030,1.000000000000000,0,0,0
-1,42093,28820,568282.842859999980000,6744785.565770000200000,3105.833007809999800,1.000000000000000,0,0,0
-1,42094,28821,568482.842859999980000,6744785.565770000200000,3114.531005859999800,1.000000000000000,0,0,0
-1,42095,28822,568682.842859999980000,6744785.565770000200000,3029.559082029999900,1.000000000000000,0,0,0
-1,42096,28823,568882.842859999980000,6744785.565770000200000,3021.755371090000200,1.000000000000000,0,0,0
-1,42097,28824,569082.842859999980000,6744785.565770000200000,3019.124023440000200,1.000000000000000,0,0,0
-1,42098,28825,569482.842859999980000,6744785.565770000200000,3108.143066409999800,1.000000000000000,0,0,0
-1,42099,28826,569682.842859999980000,6744785.565770000200000,3182.730957029999900,1.000000000000000,0,0,0
-1,42100,28827,570282.842859999980000,6744785.565770000200000,2967.614013670000100,1.000000000000000,0,0,0
-1,42101,28828,570482.842859999980000,6744785.565770000200000,2906.812011720000100,1.000000000000000,0,0,0
-1,42102,28829,570682.842859999980000,6744785.565770000200000,2868.755371090000200,1.000000000000000,0,0,0
-1,42103,28830,570882.842859999980000,6744785.565770000200000,2862.779296879999900,1.000000000000000,0,0,0
-1,42104,28831,571082.842859999980000,6744785.565770000200000,2854.709472659999800,1.000000000000000,0,0,0
-1,42105,28832,571282.842859999980000,6744785.565770000200000,2842.932128909999800,1.000000000000000,0,0,0
-1,42154,28881,628482.842859999980000,6744785.565770000200000,820.931762694999970,1.000000000000000,0,1,0
-1,42155,28882,628682.842859999980000,6744785.565770000200000,821.015258788999970,1.000000000000000,0,251,0
-1,42156,28883,628882.842859999980000,6744785.565770000200000,822.820007324000020,1.000000000000000,0,255,0
