OBJECTID,pointid,grid_code,Tributary
338,338,-99,
339,339,-99,
340,340,-99,
341,341,-99,
342,342,-99,
343,343,-99,
344,344,-99,
345,345,-99,
346,346,-99,
347,347,-99,
348,348,-99,
349,349,-99,
350,350,-99,
351,351,-99,
352,352,-99,
353,353,-99,
354,354,-99,
355,355,-99,
356,356,-99,
357,357,-99,
358,358,-99,
359,359,-99,
360,360,-99,
361,361,-99,
362,362,-99,
363,363,-99,
364,364,-99,
365,365,-99,
366,366,-99,
367,367,-99,
368,368,-99,
369,369,-99,
370,370,-99,
371,371,-99,
372,372,-99,
373,373,-99,
374,374,-99,
375,375,-99,
376,376,-99,
377,377,-99,
378,378,-99,
379,379,-99,
380,380,-99,
381,381,-99,
382,382,-99,
383,383,-99,
384,384,-99,
385,385,-99,
386,386,-99,
387,387,-99,
388,388,-99,
389,389,-99,
390,390,-99,
391,391,-99,
392,392,-99,
393,393,-99,
394,394,-99,
395,395,-99,
396,396,-99,
397,397,-99,
398,398,-99,
399,399,-99,
400,400,-99,
401,401,-99,
402,402,-99,
403,403,-99,
404,404,-99,
405,405,-99,
406,406,-99,
407,407,-99,
408,408,-99,
409,409,-99,
410,410,-99,
411,411,-99,
412,412,-99,
413,413,-99,
414,414,-99,
415,415,-99,
416,416,-99,
417,417,-99,
418,418,-99,
419,419,-99,
420,420,-99,
421,421,-99,
422,422,-99,
423,423,-99,
424,424,-99,
425,425,-99,
426,426,-99,
427,427,-99,
428,428,-99,
429,429,-99,
430,430,-99,
431,431,-99,
432,432,-99,
433,433,-99,
434,434,-99,
435,435,-99,
436,436,-99,
437,437,-99,
438,438,-99,
439,439,-99,
440,440,-99,
441,441,-99,
442,442,-99,
443,443,-99,
444,444,-99,
445,445,-99,
446,446,-99,
447,447,-99,
448,448,-99,
449,449,-99,
450,450,-99,
451,451,-99,
452,452,-99,
453,453,-99,
454,454,-99,
455,455,-99,
456,456,-99,
457,457,-99,
458,458,-99,
459,459,-99,
460,460,-99,
461,461,-99,
462,462,-99,
463,463,-99,
464,464,-99,
465,465,-99,
466,466,-99,
467,467,-99,
468,468,-99,
469,469,-99,
470,470,-99,
471,471,-99,
472,472,-99,
473,473,-99,
474,474,-99,
475,475,-99,
476,476,-99,
477,477,-99,
478,478,-99,
479,479,-99,
480,480,-99,
481,481,-99,
482,482,-99,
483,483,-99,
484,484,-99,
485,485,-99,
486,486,-99,
487,487,-99,
488,488,-99,
489,489,-99,
490,490,-99,
491,491,-99,
492,492,-99,
493,493,-99,
494,494,-99,
495,495,-99,
496,496,-99,
497,497,-99,
498,498,-99,
499,499,-99,
500,500,-99,
501,501,-99,
502,502,-99,
503,503,-99,
504,504,-99,
505,505,-99,
506,506,-99,
507,507,-99,
508,508,-99,
509,509,-99,
510,510,-99,
511,511,-99,
512,512,-99,
513,513,-99,
514,514,-99,
515,515,-99,
516,516,-99,
517,517,-99,
518,518,-99,
519,519,-99,
520,520,-99,
521,521,-99,
522,522,-99,
523,523,-99,
524,524,-99,
525,525,-99,
526,526,-99,
527,527,-99,
528,528,-99,
529,529,-99,
530,530,-99,
531,531,-99,
532,532,-99,
533,533,-99,
534,534,-99,
535,535,-99,
536,536,-99,
537,537,-99,
538,538,-99,
539,539,-99,
540,540,-99,
541,541,-99,
542,542,-99,
543,543,-99,
544,544,-99,
545,545,-99,
546,546,-99,
547,547,-99,
548,548,-99,
549,549,-99,
550,550,-99,
551,551,-99,
552,552,-99,
553,553,-99,SA
554,554,-99,SA
555,555,-99,SA
556,556,-99,SA
557,557,-99,SA
558,558,-99,SA
559,559,-99,SA
560,560,-99,SA
561,561,-99,SA
562,562,-99,SA
563,563,2683,SA
564,564,2658,SA
565,565,2628,SA
566,566,-99,SA
567,567,-99,SA
568,568,-99,SA
569,569,-99,SA
570,570,-99,SA
571,571,-99,SA
572,572,-99,SA
573,573,-99,SA
574,574,-99,SA
575,575,-99,SA
576,576,-99,SA
577,577,-99,SA
578,578,-99,SA
579,579,-99,SA
580,580,-99,SA
581,581,-99,SA
582,582,-99,SA
583,583,-99,SA
584,584,-99,SA
585,585,-99,SA
586,586,-99,SA
587,587,-99,SA
588,588,-99,SA
589,589,-99,SA
590,590,-99,SA
591,591,-99,SA
592,592,-99,SA
593,593,-99,SA
594,594,-99,SA
595,595,-99,SA
596,596,-99,SA
597,597,-99,SA
598,598,-99,
599,599,-99,
600,600,-99,
601,601,-99,
602,602,-99,
603,603,-99,
604,604,-99,
605,605,-99,
606,606,-99,
607,607,-99,
608,608,-99,
609,609,-99,
610,610,-99,
611,611,-99,
612,612,-99,
613,613,-99,
614,614,-99,
615,615,-99,
616,616,-99,
617,617,-99,
618,618,-99,
619,619,-99,
620,620,-99,
621,621,-99,
622,622,-99,
623,623,-99,
624,624,-99,
625,625,-99,
626,626,-99,
627,627,-99,
628,628,-99,
629,629,-99,
630,630,-99,
631,631,-99,
632,632,-99,
633,633,-99,
634,634,-99,
635,635,-99,
636,636,-99,
637,637,-99,
638,638,-99,
639,639,-99,
640,640,-99,
641,641,-99,
642,642,-99,
643,643,-99,
644,644,-99,
645,645,-99,
646,646,-99,
647,647,-99,
648,648,-99,
649,649,-99,
650,650,-99,
651,651,-99,
652,652,-99,
653,653,-99,
654,654,-99,
655,655,-99,
656,656,-99,
657,657,-99,
658,658,-99,
659,659,-99,
660,660,-99,
661,661,-99,
662,662,-99,
663,663,-99,
664,664,-99,
665,665,-99,
666,666,-99,
667,667,-99,
668,668,-99,
669,669,-99,
670,670,-99,
671,671,-99,
672,672,-99,
673,673,-99,
674,674,-99,
675,675,-99,
676,676,-99,
677,677,-99,
678,678,-99,
679,679,-99,
680,680,-99,
681,681,-99,
682,682,-99,
683,683,-99,
684,684,-99,
685,685,-99,
686,686,-99,
687,687,-99,
688,688,-99,
689,689,-99,
690,690,-99,
691,691,-99,
692,692,-99,
693,693,-99,
694,694,-99,
695,695,-99,
696,696,-99,
697,697,-99,
698,698,-99,
699,699,-99,
700,700,-99,
701,701,-99,
702,702,-99,
703,703,-99,
704,704,-99,
705,705,-99,
706,706,-99,
707,707,-99,
708,708,-99,
709,709,-99,
710,710,-99,
711,711,-99,
712,712,-99,
713,713,-99,
714,714,-99,
715,715,-99,
716,716,-99,
717,717,-99,
718,718,-99,
719,719,-99,
720,720,-99,
721,721,-99,
722,722,-99,
723,723,-99,
724,724,-99,
725,725,-99,
726,726,-99,
727,727,-99,
728,728,-99,
729,729,-99,
730,730,-99,
731,731,-99,
732,732,-99,
733,733,-99,
734,734,-99,
735,735,-99,
736,736,-99,
737,737,-99,
738,738,-99,
739,739,-99,
740,740,-99,
741,741,-99,
742,742,-99,
743,743,-99,
744,744,-99,
745,745,-99,
746,746,-99,
747,747,-99,
748,748,-99,
749,749,-99,
750,750,-99,
751,751,-99,
752,752,-99,
753,753,-99,
754,754,-99,
755,755,-99,
756,756,-99,
757,757,-99,
758,758,-99,
759,759,-99,
760,760,-99,
761,761,-99,
762,762,-99,
763,763,-99,
764,764,-99,
765,765,-99,
766,766,-99,
767,767,-99,
768,768,-99,
769,769,-99,
770,770,-99,
771,771,-99,
772,772,-99,
773,773,-99,
774,774,-99,
775,775,-99,
776,776,-99,
777,777,-99,
778,778,-99,
779,779,-99,
780,780,-99,
781,781,-99,
782,782,-99,
783,783,-99,
784,784,-99,
785,785,-99,
786,786,-99,
787,787,-99,
788,788,-99,
789,789,-99,
790,790,-99,
791,791,-99,
792,792,-99,
793,793,-99,
794,794,-99,
795,795,-99,
796,796,-99,
797,797,-99,
798,798,-99,
799,799,-99,
800,800,-99,
801,801,-99,
802,802,-99,
803,803,-99,
804,804,-99,
805,805,-99,
806,806,-99,
807,807,-99,
808,808,-99,
809,809,-99,
810,810,-99,
811,811,-99,
812,812,-99,
813,813,-99,
814,814,-99,
815,815,-99,
816,816,-99,
817,817,-99,
818,818,-99,
819,819,-99,
820,820,-99,
821,821,-99,
822,822,-99,
823,823,-99,
824,824,-99,
825,825,-99,
826,826,-99,
827,827,-99,
828,828,-99,
829,829,-99,
830,830,-99,
831,831,-99,
832,832,-99,
833,833,-99,
834,834,-99,
835,835,-99,
836,836,-99,
837,837,-99,
838,838,-99,
839,839,-99,
840,840,-99,
841,841,-99,
842,842,-99,
843,843,-99,
844,844,-99,
845,845,-99,
846,846,-99,
847,847,-99,
848,848,-99,
849,849,-99,
850,850,-99,
851,851,-99,
852,852,-99,
853,853,-99,
854,854,-99,
855,855,-99,
856,856,-99,
857,857,-99,
858,858,-99,
859,859,-99,
860,860,-99,
861,861,-99,
862,862,-99,
863,863,-99,
864,864,-99,
865,865,-99,
866,866,-99,
867,867,-99,
868,868,-99,
869,869,-99,
870,870,-99,
871,871,-99,
872,872,-99,
873,873,-99,
874,874,-99,
875,875,-99,
876,876,-99,
877,877,-99,SA
878,878,-99,SA
879,879,-99,SA
880,880,-99,SA
881,881,-99,SA
882,882,-99,SA
883,883,-99,SA
884,884,-99,SA
885,885,-99,SA
886,886,-99,SA
887,887,-99,SA
888,888,-99,SA
889,889,-99,SA
890,890,-99,SA
891,891,2725,SA
892,892,2659,SA
893,893,2619,SA
894,894,2605,SA
895,895,-99,SA
896,896,-99,SA
897,897,-99,SA
898,898,-99,SA
899,899,-99,SA
900,900,-99,SA
901,901,-99,SA
902,902,-99,SA
903,903,-99,SA
904,904,-99,SA
905,905,-99,SA
906,906,-99,SA
907,907,-99,SA
908,908,-99,SA
909,909,-99,SA
910,910,-99,SA
911,911,-99,SA
912,912,-99,SA
913,913,-99,SA
914,914,-99,SA
915,915,-99,SA
916,916,-99,SA
917,917,-99,SA
918,918,-99,SA
919,919,-99,SA
920,920,-99,SA
921,921,-99,SA
922,922,-99,SA
923,923,-99,SA
924,924,-99,SA
925,925,-99,SA
926,926,-99,SA
927,927,-99,SA
928,928,-99,
929,929,-99,
930,930,-99,
931,931,-99,
932,932,-99,
933,933,-99,
934,934,-99,
935,935,-99,
936,936,-99,
937,937,-99,
938,938,-99,
939,939,-99,
940,940,-99,
941,941,-99,
942,942,-99,
943,943,-99,
944,944,-99,
945,945,-99,
946,946,-99,
947,947,-99,
948,948,-99,
949,949,-99,
950,950,-99,
951,951,-99,
952,952,-99,
953,953,-99,
954,954,-99,
955,955,-99,
956,956,-99,
957,957,-99,
958,958,-99,
959,959,-99,
960,960,-99,
961,961,-99,
962,962,-99,
963,963,-99,
964,964,-99,
965,965,-99,
966,966,-99,
967,967,-99,
968,968,-99,
969,969,-99,
970,970,-99,
971,971,-99,
972,972,-99,
973,973,-99,
974,974,-99,
975,975,-99,
976,976,-99,
977,977,-99,
978,978,-99,
979,979,-99,
980,980,-99,
981,981,-99,
982,982,-99,
983,983,-99,
984,984,-99,
985,985,-99,
986,986,-99,
987,987,-99,
988,988,-99,
989,989,-99,
990,990,-99,
991,991,-99,
992,992,-99,
993,993,-99,
994,994,-99,
995,995,-99,
996,996,-99,
997,997,-99,
998,998,-99,
999,999,-99,
1000,1000,-99,
1001,1001,-99,
1002,1002,-99,
1003,1003,-99,
1004,1004,-99,
1005,1005,-99,
1006,1006,-99,
1007,1007,-99,
1008,1008,-99,
1009,1009,-99,
1010,1010,-99,
1011,1011,-99,
1012,1012,-99,
1013,1013,-99,
1014,1014,-99,
1015,1015,-99,
1016,1016,-99,
1017,1017,-99,
1018,1018,-99,
1019,1019,-99,
1020,1020,-99,
1021,1021,-99,
1022,1022,-99,
1023,1023,-99,
1024,1024,-99,
1025,1025,-99,
1026,1026,-99,
1027,1027,-99,
1028,1028,-99,
1029,1029,-99,
1030,1030,-99,
1031,1031,-99,
1032,1032,-99,
1033,1033,-99,
1034,1034,-99,
1035,1035,-99,
1036,1036,-99,
1037,1037,-99,
1038,1038,-99,
1039,1039,-99,
1040,1040,-99,
1041,1041,-99,
1042,1042,-99,
1043,1043,-99,
1044,1044,-99,
1045,1045,-99,
1046,1046,-99,
1047,1047,-99,
1048,1048,-99,
1049,1049,-99,
1050,1050,-99,
1051,1051,-99,
1052,1052,-99,
1053,1053,-99,
1054,1054,-99,
1055,1055,-99,
1056,1056,-99,
1057,1057,-99,
1058,1058,-99,
1059,1059,-99,
1060,1060,-99,
1061,1061,-99,
1062,1062,-99,
1063,1063,-99,
1064,1064,-99,
1065,1065,-99,
1066,1066,-99,
1067,1067,-99,
1068,1068,-99,
1069,1069,-99,
1070,1070,-99,
1071,1071,-99,
1072,1072,-99,
1073,1073,-99,
1074,1074,-99,
1075,1075,-99,
1076,1076,-99,
1077,1077,-99,
1078,1078,-99,
1079,1079,-99,
1080,1080,-99,
1081,1081,-99,
1082,1082,-99,
1083,1083,-99,
1084,1084,-99,
1085,1085,-99,
1086,1086,-99,
1087,1087,-99,
1088,1088,-99,
1089,1089,-99,
1090,1090,-99,
1091,1091,-99,
1092,1092,-99,
1093,1093,-99,
1094,1094,-99,
1095,1095,-99,
1096,1096,-99,
1097,1097,-99,
1098,1098,-99,
1099,1099,-99,
1100,1100,-99,
1101,1101,-99,
1102,1102,-99,
1103,1103,-99,
1104,1104,-99,
1105,1105,-99,
1106,1106,-99,
1107,1107,-99,
1108,1108,-99,
1109,1109,-99,
1110,1110,-99,
1111,1111,-99,
1112,1112,-99,
1113,1113,-99,
1114,1114,-99,
1115,1115,-99,
1116,1116,-99,
1117,1117,-99,
1118,1118,-99,
1119,1119,-99,
1120,1120,-99,
1121,1121,-99,
1122,1122,-99,
1123,1123,-99,
1124,1124,-99,
1125,1125,-99,
1126,1126,-99,
1127,1127,-99,
1128,1128,-99,
1129,1129,-99,
1130,1130,-99,
1131,1131,-99,
1132,1132,-99,
1133,1133,-99,
1134,1134,-99,
1135,1135,-99,
1136,1136,-99,
1137,1137,-99,
1138,1138,-99,
1139,1139,-99,
1140,1140,-99,
1141,1141,-99,
1142,1142,-99,
1143,1143,-99,
1144,1144,-99,
1145,1145,-99,
1146,1146,-99,
1147,1147,-99,
1148,1148,-99,
1149,1149,-99,
1150,1150,-99,
1151,1151,-99,
1152,1152,-99,
1153,1153,-99,
1154,1154,-99,
1155,1155,-99,
1156,1156,-99,
1157,1157,-99,
1158,1158,-99,
1159,1159,-99,
1160,1160,-99,
1161,1161,-99,
1162,1162,-99,
1163,1163,-99,
1164,1164,-99,
1165,1165,-99,
1166,1166,-99,
1167,1167,-99,
1168,1168,-99,
1169,1169,-99,
1170,1170,-99,
1171,1171,-99,
1172,1172,-99,
1173,1173,-99,
1174,1174,-99,
1175,1175,-99,
1176,1176,-99,
1177,1177,-99,
1178,1178,-99,
1179,1179,-99,
1180,1180,-99,
1181,1181,-99,
1182,1182,-99,
1183,1183,-99,
1184,1184,-99,
1185,1185,-99,
1186,1186,-99,
1187,1187,-99,
1188,1188,-99,
1189,1189,-99,
1190,1190,-99,
1191,1191,-99,
1192,1192,-99,
1193,1193,-99,
1194,1194,-99,
1195,1195,-99,
1196,1196,-99,
1197,1197,-99,
1198,1198,-99,
1199,1199,-99,
1200,1200,-99,
1201,1201,-99,
1202,1202,-99,SA
1203,1203,-99,SA
1204,1204,-99,SA
1205,1205,-99,SA
1206,1206,-99,SA
1207,1207,-99,SA
1208,1208,-99,SA
1209,1209,-99,SA
1210,1210,-99,SA
1211,1211,-99,SA
1212,1212,-99,SA
1213,1213,-99,SA
1214,1214,-99,SA
1215,1215,-99,SA
1216,1216,-99,SA
1217,1217,-99,SA
1218,1218,-99,SA
1219,1219,2760,SA
1220,1220,2662,SA
1221,1221,2618,SA
1222,1222,2593,SA
1223,1223,2579,SA
1224,1224,-99,SA
1225,1225,-99,SA
1226,1226,-99,SA
1227,1227,-99,SA
1228,1228,-99,SA
1229,1229,-99,SA
1230,1230,-99,SA
1231,1231,-99,SA
1232,1232,-99,SA
1233,1233,-99,SA
1234,1234,-99,SA
1235,1235,-99,SA
1236,1236,-99,SA
1237,1237,-99,SA
1238,1238,-99,SA
1239,1239,-99,SA
1240,1240,-99,SA
1241,1241,-99,SA
1242,1242,-99,SA
1243,1243,-99,SA
1244,1244,-99,SA
1245,1245,-99,SA
1246,1246,-99,SA
1247,1247,-99,SA
1248,1248,-99,SA
1249,1249,-99,SA
1250,1250,-99,SA
1251,1251,-99,SA
1252,1252,-99,SA
1253,1253,-99,SA
1254,1254,-99,SA
1255,1255,-99,SA
1256,1256,-99,SA
1257,1257,-99,SA
1258,1258,-99,
1259,1259,-99,
1260,1260,-99,
1261,1261,-99,
1262,1262,-99,
1263,1263,-99,
1264,1264,-99,
1265,1265,-99,
1266,1266,-99,
1267,1267,-99,
1268,1268,-99,
1269,1269,-99,
1270,1270,-99,
1271,1271,-99,
1272,1272,-99,
1273,1273,-99,
1274,1274,-99,
1275,1275,-99,
1276,1276,-99,
1277,1277,-99,
1278,1278,-99,
1279,1279,-99,
1280,1280,-99,
1281,1281,-99,
1282,1282,-99,
1283,1283,-99,
1284,1284,-99,
1285,1285,-99,
1286,1286,-99,
1287,1287,-99,
1288,1288,-99,
1289,1289,-99,
1290,1290,-99,
1291,1291,-99,
1292,1292,-99,
1293,1293,-99,
1294,1294,-99,
1295,1295,-99,
1296,1296,-99,
1297,1297,-99,
1298,1298,-99,
1299,1299,-99,
1300,1300,-99,
1301,1301,-99,
1302,1302,-99,
1303,1303,-99,
1304,1304,-99,
1305,1305,-99,
1306,1306,-99,
1307,1307,-99,
1308,1308,-99,
1309,1309,-99,
1310,1310,-99,
1311,1311,-99,
1312,1312,-99,
1313,1313,-99,
1314,1314,-99,
1315,1315,-99,
1316,1316,-99,
1317,1317,-99,
1318,1318,-99,
1319,1319,-99,
1320,1320,-99,
1321,1321,-99,
1322,1322,-99,
1323,1323,-99,
1324,1324,-99,
1325,1325,-99,
1326,1326,-99,
1327,1327,-99,
1328,1328,-99,
1329,1329,-99,
1330,1330,-99,
1331,1331,-99,
1332,1332,-99,
1333,1333,-99,
1334,1334,-99,
1335,1335,-99,
1336,1336,-99,
1337,1337,-99,
1338,1338,-99,
1339,1339,-99,
1340,1340,-99,
1341,1341,-99,
1342,1342,-99,
1343,1343,-99,
1344,1344,-99,
1345,1345,-99,
1346,1346,-99,
1347,1347,-99,
1348,1348,-99,
1349,1349,-99,
1350,1350,-99,
1351,1351,-99,
1352,1352,-99,
1353,1353,-99,
1354,1354,-99,
1355,1355,-99,
1356,1356,-99,
1357,1357,-99,
1358,1358,-99,
1359,1359,-99,
1360,1360,-99,
1361,1361,-99,
1362,1362,-99,
1363,1363,-99,
1364,1364,-99,
1365,1365,-99,
1366,1366,-99,
1367,1367,-99,
1368,1368,-99,
1369,1369,-99,
1370,1370,-99,
1371,1371,-99,
1372,1372,-99,
1373,1373,-99,
1374,1374,-99,
1375,1375,-99,
1376,1376,-99,
1377,1377,-99,
1378,1378,-99,
1379,1379,-99,
1380,1380,-99,
1381,1381,-99,
1382,1382,-99,
1383,1383,-99,
1384,1384,-99,
1385,1385,-99,
1386,1386,-99,
1387,1387,-99,
1388,1388,-99,
1389,1389,-99,
1390,1390,-99,
1391,1391,-99,
1392,1392,-99,
1393,1393,-99,
1394,1394,-99,
1395,1395,-99,
1396,1396,-99,
1397,1397,-99,
1398,1398,-99,
1399,1399,-99,
1400,1400,-99,
1401,1401,-99,
1402,1402,-99,
1403,1403,-99,
1404,1404,-99,
1405,1405,-99,
1406,1406,-99,
1407,1407,-99,
1408,1408,-99,
1409,1409,-99,
1410,1410,-99,
1411,1411,-99,
1412,1412,-99,
1413,1413,-99,
1414,1414,-99,
1415,1415,-99,
1416,1416,-99,
1417,1417,-99,
1418,1418,-99,
1419,1419,-99,
1420,1420,-99,
1421,1421,-99,
1422,1422,-99,
1423,1423,-99,
1424,1424,-99,
1425,1425,-99,
1426,1426,-99,
1427,1427,-99,
1428,1428,-99,
1429,1429,-99,
1430,1430,-99,
1431,1431,-99,
1432,1432,-99,
1433,1433,-99,
1434,1434,-99,
1435,1435,-99,
1436,1436,-99,
1437,1437,-99,
1438,1438,-99,
1439,1439,-99,
1440,1440,-99,
1441,1441,-99,
1442,1442,-99,
1443,1443,-99,
1444,1444,-99,
1445,1445,-99,
1446,1446,-99,
1447,1447,-99,
1448,1448,-99,
1449,1449,-99,
1450,1450,-99,
1451,1451,-99,
1452,1452,-99,
1453,1453,-99,
1454,1454,-99,
1455,1455,-99,
1456,1456,-99,
1457,1457,-99,
1458,1458,-99,
1459,1459,-99,
1460,1460,-99,
1461,1461,-99,
1462,1462,-99,
1463,1463,-99,
1464,1464,-99,
1465,1465,-99,
1466,1466,-99,
1467,1467,-99,
1468,1468,-99,
1469,1469,-99,
1470,1470,-99,
1471,1471,-99,
1472,1472,-99,
1473,1473,-99,
1474,1474,-99,
1475,1475,-99,
1476,1476,-99,
1477,1477,-99,
1478,1478,-99,
1479,1479,-99,
1480,1480,-99,
1481,1481,-99,
1482,1482,-99,
1483,1483,-99,
1484,1484,-99,
1485,1485,-99,
1486,1486,-99,
1487,1487,-99,
1488,1488,-99,
1489,1489,-99,
1490,1490,-99,
1491,1491,-99,
1492,1492,-99,
1493,1493,-99,
1494,1494,-99,
1495,1495,-99,
1496,1496,-99,
1497,1497,-99,
1498,1498,-99,
1499,1499,-99,
1500,1500,-99,
1501,1501,-99,
1502,1502,-99,
1503,1503,-99,
1504,1504,-99,
1505,1505,-99,
1506,1506,-99,
1507,1507,-99,
1508,1508,-99,
1509,1509,-99,
1510,1510,-99,
1511,1511,-99,
1512,1512,-99,
1513,1513,-99,
1514,1514,-99,
1515,1515,-99,
1516,1516,-99,
1517,1517,-99,
1518,1518,-99,
1519,1519,-99,
1520,1520,-99,
1521,1521,-99,
1522,1522,-99,
1523,1523,-99,
1524,1524,-99,
1525,1525,-99,
1526,1526,-99,
1527,1527,-99,SA
1528,1528,-99,SA
1529,1529,-99,SA
1530,1530,-99,SA
1531,1531,-99,SA
1532,1532,-99,SA
1533,1533,-99,SA
1534,1534,-99,SA
1535,1535,-99,SA
1536,1536,-99,SA
1537,1537,-99,SA
1538,1538,-99,SA
1539,1539,-99,SA
1540,1540,-99,SA
1541,1541,-99,SA
1542,1542,-99,SA
1543,1543,-99,SA
1544,1544,-99,SA
1545,1545,-99,SA
1546,1546,2792,SA
1547,1547,2813,SA
1548,1548,2708,SA
1549,1549,2640,SA
1550,1550,2603,SA
1551,1551,2568,SA
