OBJECTID,pointid,grid_code,Tributary
1,1,-99,
2,2,-99,
3,3,-99,
4,4,-99,
5,5,-99,
6,6,-99,
7,7,-99,
8,8,-99,
9,9,-99,
10,10,-99,
11,11,-99,
12,12,-99,
13,13,-99,
14,14,-99,
15,15,-99,
16,16,-99,
17,17,-99,
18,18,-99,
19,19,-99,
20,20,-99,
21,21,-99,
22,22,-99,
23,23,-99,
24,24,-99,
25,25,-99,
26,26,-99,
27,27,-99,
28,28,-99,
29,29,-99,
30,30,-99,
31,31,-99,
32,32,-99,
33,33,-99,
34,34,-99,
35,35,-99,
36,36,-99,
37,37,-99,
38,38,-99,
39,39,-99,
40,40,-99,
41,41,-99,
42,42,-99,
43,43,-99,
44,44,-99,
45,45,-99,
46,46,-99,
47,47,-99,
48,48,-99,
49,49,-99,
50,50,-99,
51,51,-99,
52,52,-99,
53,53,-99,
54,54,-99,
55,55,-99,
56,56,-99,
57,57,-99,
58,58,-99,
59,59,-99,
60,60,-99,
61,61,-99,
62,62,-99,
63,63,-99,
64,64,-99,
65,65,-99,
66,66,-99,
67,67,-99,
68,68,-99,
69,69,-99,
70,70,-99,
71,71,-99,
72,72,-99,
73,73,-99,
74,74,-99,
75,75,-99,
76,76,-99,
77,77,-99,
78,78,-99,
79,79,-99,
80,80,-99,
81,81,-99,
82,82,-99,
83,83,-99,
84,84,-99,
85,85,-99,
86,86,-99,
87,87,-99,
88,88,-99,
89,89,-99,
90,90,-99,
91,91,-99,
92,92,-99,
93,93,-99,
94,94,-99,
95,95,-99,
96,96,-99,
97,97,-99,
98,98,-99,
99,99,-99,
100,100,-99,
101,101,-99,
102,102,-99,
103,103,-99,
104,104,-99,
105,105,-99,
106,106,-99,
107,107,-99,
108,108,-99,
109,109,-99,
110,110,-99,
111,111,-99,
112,112,-99,
113,113,-99,
114,114,-99,
115,115,-99,
116,116,-99,
117,117,-99,
118,118,-99,
119,119,-99,
120,120,-99,
121,121,-99,
122,122,-99,
123,123,-99,
124,124,-99,
125,125,-99,
126,126,-99,
127,127,-99,
128,128,-99,
129,129,-99,
130,130,-99,
131,131,-99,
132,132,-99,
133,133,-99,
134,134,-99,
135,135,-99,
136,136,-99,
137,137,-99,
138,138,-99,
139,139,-99,
140,140,-99,
141,141,-99,
142,142,-99,
143,143,-99,
144,144,-99,
145,145,-99,
146,146,-99,
147,147,-99,
148,148,-99,
149,149,-99,
150,150,-99,
151,151,-99,
152,152,-99,
153,153,-99,
154,154,-99,
155,155,-99,
156,156,-99,
157,157,-99,
158,158,-99,
159,159,-99,
160,160,-99,
161,161,-99,
162,162,-99,
163,163,-99,
164,164,-99,
165,165,-99,
166,166,-99,
167,167,-99,
168,168,-99,
169,169,-99,
170,170,-99,
171,171,-99,
172,172,-99,
173,173,-99,
174,174,-99,
175,175,-99,
176,176,-99,
177,177,-99,
178,178,-99,
179,179,-99,
180,180,-99,
181,181,-99,
182,182,-99,
183,183,-99,
184,184,-99,
185,185,-99,
186,186,-99,
187,187,-99,
188,188,-99,
189,189,-99,
190,190,-99,
191,191,-99,
192,192,-99,
193,193,-99,
194,194,-99,
195,195,-99,
196,196,-99,
197,197,-99,
198,198,-99,
199,199,-99,
200,200,-99,
201,201,-99,
202,202,-99,
203,203,-99,
204,204,-99,
205,205,-99,
206,206,-99,
207,207,-99,
208,208,-99,
209,209,-99,
210,210,-99,
211,211,-99,
212,212,-99,
213,213,-99,
214,214,-99,
215,215,-99,
216,216,-99,
217,217,-99,
218,218,-99,
219,219,-99,
220,220,-99,
221,221,-99,
222,222,-99,
223,223,-99,
224,224,-99,
225,225,-99,
226,226,-99,
227,227,-99,SA
228,228,-99,SA
229,229,-99,SA
230,230,-99,SA
231,231,-99,SA
232,232,-99,SA
233,233,-99,SA
234,234,-99,SA
235,235,2700,SA
236,236,2700,SA
237,237,-99,SA
238,238,-99,SA
239,239,-99,SA
240,240,-99,SA
241,241,-99,SA
242,242,-99,SA
243,243,-99,SA
244,244,-99,SA
245,245,-99,SA
246,246,-99,SA
247,247,-99,SA
248,248,-99,SA
249,249,-99,SA
250,250,-99,SA
251,251,-99,SA
252,252,-99,SA
253,253,-99,SA
254,254,-99,SA
255,255,-99,SA
256,256,-99,SA
257,257,-99,SA
258,258,-99,SA
259,259,-99,SA
260,260,-99,SA
261,261,-99,SA
262,262,-99,SA
263,263,-99,SA
264,264,-99,SA
265,265,-99,SA
266,266,-99,SA
267,267,-99,SA
268,268,-99,
269,269,-99,
270,270,-99,
271,271,-99,
272,272,-99,
273,273,-99,
274,274,-99,
275,275,-99,
276,276,-99,
277,277,-99,
278,278,-99,
279,279,-99,
280,280,-99,
281,281,-99,
282,282,-99,
283,283,-99,
284,284,-99,
285,285,-99,
286,286,-99,
287,287,-99,
288,288,-99,
289,289,-99,
290,290,-99,
291,291,-99,
292,292,-99,
293,293,-99,
294,294,-99,
295,295,-99,
296,296,-99,
297,297,-99,
298,298,-99,
299,299,-99,
300,300,-99,
301,301,-99,
302,302,-99,
303,303,-99,
304,304,-99,
305,305,-99,
306,306,-99,
307,307,-99,
308,308,-99,
309,309,-99,
310,310,-99,
311,311,-99,
312,312,-99,
313,313,-99,
314,314,-99,
315,315,-99,
316,316,-99,
317,317,-99,
318,318,-99,
319,319,-99,
320,320,-99,
321,321,-99,
322,322,-99,
323,323,-99,
324,324,-99,
325,325,-99,
326,326,-99,
327,327,-99,
328,328,-99,
329,329,-99,
330,330,-99,
331,331,-99,
332,332,-99,
333,333,-99,
334,334,-99,
335,335,-99,
336,336,-99,
337,337,-99,
