,aice,asnow,MF
0,1.5515231606715112e-06,2.5687316803365514e-06,6.111805786176815e-05
1,1.2626505367628098e-07,1.296130067756775e-06,0.0003739760358697632
2,5.259130363784545e-07,2.9680361532188745e-06,0.00018000548644182642
3,1.984275234836351e-06,1.2036204757448345e-06,5.375312659284333e-05
4,1.5073236615219685e-06,1.2966583836223504e-06,0.0001748984472085003
5,1.6131265730995094e-06,1.216973955252545e-06,0.00018819180123826848
6,6.925935926313915e-07,1.2873507160301477e-06,0.00027504107013127124
7,6.421298341186225e-07,1.3882274589910728e-06,0.00032821563054850845
8,1.139281813422122e-06,5.553581140771057e-07,0.00025009448538154146
9,1.3587297772027942e-06,2.2156225034183847e-06,0.0001339008842893292
10,4.5326754075162396e-08,2.259345193369539e-06,0.0003287829652934504
11,2.3859056655601827e-08,1.4931744759846493e-06,0.0004183346455688566
12,1.0778616207605979e-06,7.402332622105011e-07,0.0003137162963772835
13,1.9502941489535077e-06,1.4641365868672036e-06,3.1118361013655286e-05
14,6.677340281086529e-07,2.1563053913727125e-07,0.0003875216496709267
15,2.5353850093141387e-06,1.048410330961287e-06,1.365974602133516e-05
16,2.813614451313606e-07,2.2194865772857555e-06,0.0002597244720223707
17,1.6367300425484177e-06,1.531761320662158e-06,6.389276885968392e-05
18,1.602815875855157e-06,1.3050508451605952e-06,0.00011068919320232206
19,1.1977061518511321e-06,2.0499171846292893e-06,0.00017773868975344824
20,1.4532153799944784e-08,1.1433093572844177e-06,0.00036823417856370424
21,4.4183538412175313e-07,2.7203247184511112e-06,0.00019719430890575258
22,1.5868081768694626e-06,1.2198910643603767e-06,0.0001872327132948371
23,8.003990589621161e-07,2.223095804176175e-06,0.00018545101916303495
24,4.3876850961179786e-07,8.333025765577133e-07,0.00030819703065913226
25,8.640744862160661e-08,2.122057145774289e-06,0.0004032084195962538
26,1.4599498396173691e-06,3.822084027784431e-07,0.00030951633415173257
27,1.6533562562021315e-06,1.9518039345371025e-06,0.00010285398982607717
28,2.0178615996066686e-07,1.0747848306132428e-06,0.0003528451529424728
29,1.1831013916280176e-06,1.6603793570002717e-06,0.00014343067825200835
30,7.16041451281564e-07,7.410239821408259e-07,0.0003460065715845828
31,1.0854078548184068e-06,1.5748402141448733e-06,0.00021839423511606432
32,1.7128546328050903e-06,2.1981619870025795e-06,3.31326673655811e-05
33,5.469336529819381e-07,6.02073959763042e-07,0.00041594205322046686
34,1.444498879824965e-06,2.4470935975337004e-06,7.520723052074633e-05
35,1.720769680510975e-06,1.875930500224328e-06,9.880257172783326e-05
36,1.5178829806280417e-06,6.05014294761263e-07,0.00020899237246530764
37,4.905435350330731e-07,1.6318376176581808e-06,0.00023694451030597367
38,7.58055131781409e-07,2.0785989263239177e-06,0.0002594784075035211
39,1.2463778546764091e-06,1.901980424527806e-06,0.0001241264429014267
40,2.0055063903395063e-06,6.721392705426261e-08,0.00026896913457337575
41,1.2963379221537122e-06,2.7867884594646034e-06,6.2063004697973e-05
42,6.41832273451685e-07,2.419776491456142e-06,0.0001652371809739633
43,1.6274557137684182e-06,2.2453810187965757e-06,6.459354190909935e-05
44,1.088234752414611e-06,1.4825618144005498e-06,0.00017673098161887478
45,3.158972468721011e-07,1.777116386119391e-06,0.0002767837190354204
46,3.9398090911788205e-07,1.7319732295073724e-06,0.00032077262261214645
